cb,ratio,flips,flipsPerSecond,lastRunEntropy,totalFlips,earlyRestarts,minEntropy,tries,entropy,variables,sat,clauses
2.3800,4.1000,6251,24913.3392,0.9037,106251,0,0.5000,5,1.1637,500,1,2050
2.3800,4.1000,20019,31239.3864,0.8934,45019,0,0.5000,2,1.0617,500,1,2050
2.3800,4.1000,16766,31708.8753,0.9263,41766,0,0.5500,2,1.1190,500,1,2050
2.3800,4.1000,10933,28390.3034,0.9283,60933,0,0.6500,3,1.1387,500,1,2050
2.3800,4.1000,15028,23602.1771,0.9298,140028,0,0.6500,6,1.2055,500,1,2050
2.3800,4.1000,6184,94854.9282,0.8966,6184,0,0.6000,1,0.8966,500,1,2050
2.3800,4.1000,19831,21397.0241,0.9268,394831,0,0.5500,16,1.2118,500,1,2050
2.3800,4.1000,25000,21334.9509,1.2304,4500000,0,0.5000,18,1.0477,500,0,2050
2.3800,4.1000,13053,28191.3039,0.9314,63053,0,0.6500,3,1.1557,500,1,2050
2.3800,4.1000,25000,21215.5321,1.1909,4250000,0,0.4500,17,1.1603,500,0,2050
2.3800,4.1000,5457,22828.4921,0.9062,180457,0,0.6000,8,1.2270,500,1,2050
2.3800,4.1000,22780,42388.2856,0.9367,22780,0,0.4500,1,0.9367,500,1,2050
2.3800,4.1000,15384,24788.8782,0.8907,115384,0,0.5500,5,1.2250,500,1,2050
2.3800,4.1000,12073,60838.6481,0.9127,12073,0,0.5000,1,0.9127,500,1,2050
2.3800,4.1000,18543,24464.4066,0.9363,118543,0,0.5500,5,1.1673,500,1,2050
2.3800,4.1000,16166,50959.3971,0.9014,16166,0,0.6500,1,0.9014,500,1,2050
2.3800,4.1000,10635,66226.8308,0.9270,10635,0,0.4500,1,0.9270,500,1,2050
2.3800,4.1000,16096,32492.4153,0.9356,41096,0,0.4000,2,1.1075,500,1,2050
2.3800,4.1000,12346,25934.8546,0.9176,87346,0,0.5000,4,1.1125,500,1,2050
2.3800,4.1000,23600,24208.8360,0.9102,123600,0,0.4500,5,1.1934,500,1,2050
2.3800,4.1000,6921,24989.8428,0.9011,106921,0,0.6500,5,1.1246,500,1,2050
2.3800,4.1000,14684,54159.9913,0.9186,14684,0,0.4500,1,0.9186,500,1,2050
2.3800,4.1000,24929,30324.9987,0.9242,49929,0,0.5000,2,1.0782,500,1,2050
2.3800,4.1000,21642,27218.0647,0.9276,71642,0,0.6000,3,1.1051,500,1,2050
2.3800,4.1000,17405,49347.9155,0.9348,17405,0,0.5000,1,0.9348,500,1,2050
2.3800,4.1000,5725,105409.8654,0.9201,5725,0,0.5500,1,0.9201,500,1,2050
2.3800,4.1000,5331,29287.4702,0.8922,55331,0,0.6000,3,1.1753,500,1,2050
2.3800,4.1000,9996,23010.6413,0.9150,184996,0,0.4000,8,1.1777,500,1,2050
2.3800,4.1000,4373,128860.1163,0.8788,4373,0,0.4500,1,0.8788,500,1,2050
2.3800,4.1000,21543,43943.6402,0.9389,21543,0,0.4000,1,0.9389,500,1,2050
2.3800,4.1000,2090,223505.9019,0.9005,2090,0,0.4500,1,0.9005,500,1,2050
2.3800,4.1000,5619,106540.3983,0.8959,5619,0,0.5500,1,0.8959,500,1,2050
2.3800,4.1000,8444,35417.7944,0.9214,33444,0,0.4500,2,1.0712,500,1,2050
2.3800,4.1000,13541,21831.1826,0.9233,213541,0,0.4500,9,1.2246,500,1,2050
2.3800,4.1000,6297,96402.2648,0.9197,6297,0,0.6000,1,0.9197,500,1,2050
2.3800,4.1000,8511,78131.0414,0.9073,8511,0,0.6500,1,0.9073,500,1,2050
2.3800,4.1000,20925,25997.4564,0.9456,70925,0,0.4000,3,1.1182,500,1,2050
2.3800,4.1000,17248,21789.1371,0.9155,342248,0,0.6500,14,1.2030,500,1,2050
2.3800,4.1000,20263,22580.2829,0.9213,220263,0,0.4000,9,1.1452,500,1,2050
2.3800,4.1000,4087,37214.3349,0.9204,29087,0,0.4000,2,1.0913,500,1,2050
2.3800,4.1000,20782,44543.3100,0.8563,20782,0,0.5000,1,0.8563,500,1,2050
2.3800,4.1000,21288,25577.6630,0.9103,96288,0,0.4000,4,1.1661,500,1,2050
2.3800,4.1000,2246,218037.0349,0.9121,2246,0,0.4500,1,0.9121,500,1,2050
2.3800,4.1000,5925,29258.6888,0.9241,55925,0,0.5500,3,1.1474,500,1,2050
2.3800,4.1000,23942,41202.9660,0.9292,23942,0,0.5000,1,0.9292,500,1,2050
2.3800,4.1000,10543,34241.4209,0.9324,35543,0,0.4000,2,1.0933,500,1,2050
2.3800,4.1000,17084,49434.8987,0.9421,17084,0,0.5000,1,0.9421,500,1,2050
2.3800,4.1000,17173,49845.5437,0.9167,17173,0,0.6500,1,0.9167,500,1,2050
2.3800,4.1000,6300,26336.4694,0.9173,81300,0,0.4000,4,1.1432,500,1,2050
2.3800,4.1000,19745,31587.3215,0.8773,44745,0,0.4500,2,1.0545,500,1,2050
2.3800,4.1000,8816,76550.1589,0.9136,8816,0,0.5500,1,0.9136,500,1,2050
2.3800,4.1000,4258,37432.1974,0.9110,29258,0,0.6500,2,1.0900,500,1,2050
2.3800,4.1000,17760,48950.3194,0.9218,17760,0,0.4500,1,0.9218,500,1,2050
2.3800,4.1000,9379,35060.2805,0.8793,34379,0,0.6500,2,1.0209,500,1,2050
2.3800,4.1000,19663,27733.7147,0.9191,69663,0,0.4500,3,1.1585,500,1,2050
2.3800,4.1000,21608,43614.4597,0.9106,21608,0,0.6500,1,0.9106,500,1,2050
